Addr,Walkscore,Walkscore_description,Snapped_lat,Snapped_lon,Transit_score,Transit_description,Transit_summary,Bike_score,Bike_description,Ml_num,Lat,Lng,LatLng_status
"10395 Weston Road, Vaughan, ON L4H 3T4",,,,,,,,,,N8473588,43.8553244,-79.56249509999999,1
"105 - 1577 Rose Way, Milton, ON L9E 1N4",,,,,,,,,,W11893135,43.4898244,-79.83291,1
"106 Brooke Avenue, Toronto, ON M5M 2K4",65,Somewhat Walkable,43.7355,-79.413,74,Excellent Transit,"21 nearby routes: 20 bus, 1 rail, 0 other",59,Bikeable,C10411869,43.7348751,-79.4131641,1
"106/108 KATHLEEN Street, Guelph, ON N1H 4Y3",,,,,,,,,,X11891768,43.5495552,-80.2644669,1
"1060 DEPENCIER Drive, North Grenville, ON K0G 1J0",,,,,,,,,,X11825379,45.0219373,-75.6594562,1
"108 - 4145 North Service Road, Burlington, ON L7L 6A3",,,,,,,,,,W9271586,43.371772,-79.783878,1
"108 Rectory Street, London, ON N5Z 2A1",,,,,,,,,,X9704521,42.9813707,-81.22023949999999,1
"11 Dryden Lane, Hamilton, ON L8H 1L9",,,,,,,,,,X11902439,43.2344097,-79.7869853,1
"111 - 135 Canon Jackson Drive, Toronto, ON M6M 0C3",,,,,,,,,,W10427995,43.6971853,-79.473948,1
"115 Aldersgate Drive, Belleville, ON K8P 0C6",17,Car-Dependent,44.1525,-77.4165,,,,43,Somewhat Bikeable,X9243214,44.153208,-77.4169576,1
"118 Lorne Thomas Place, New Tecumseth, ON L9R 0V8",,,,,,,,,,N9391765,44.1669793,-79.79414349999999,1
"119 Benadir Avenue, Caledon, ON L7C 4E7",,,,,,,,,,W9366081,43.75553,-79.81611,1
"120 HASTINGS PARK Drive, Belleville, ON K8P 0J4",,,,,,,,,,X9033770,44.1531172,-77.4186787,1
"120 Royal Valley Drive, Caledon, ON L7C 1A5",,,,,,,,,,W9770204,43.7486924,-79.8297966,1
"1207 - 381 Front Street, Toronto, ON M5V 3R8",,,,,,,,,,C11900693,43.6428078,-79.39266180000001,1
"121 - 600 Alex Gardner Circle, Aurora, ON L4G 3G5",,,,,,,,,,N11902438,44.00022,-79.46799999999999,1
"1212 BRUCE ROAD 40, Arran-Elderslie, ON N0H 1L0",,,,,,,,,,X10846700,44.37529,-81.24244,1
"1259 - 313 Richmond Street, Toronto, ON M5A 4S7",,,,,,,,,,C11902400,43.65337,-79.3684816,1
"128 Laurel Avenue, Toronto, ON M9B 4T6",,,,,,,,,,W11911189,43.6457695,-79.55522169999999,1
"13 - 1255 Bridletowne Circle, Toronto, ON M1W 0A5",,,,,,,,,,E11902401,43.7940587,-79.31162690000001,1
"13 James Ratcliff Avenue, Whitchurch-Stouffville, ON L4A 1P2",,,,,,,,,,N9379941,43.965068,-79.2416483,1
"1307 - 32 Davenport Road, Toronto, ON M5R 0B5",,,,,,,,,,C10442662,43.67327179999999,-79.3898897,1
"1309 - 36 Forest Manor, Toronto, ON M2J 1M5",,,,,,,,,,C11902279,43.771875,-79.3446824,1
"131 Credit Lane, Richmond Hill, ON L4E 1G9",,,,,,,,,,N9512016,43.9131986,-79.4268175,1
"135 Laird Drive, Markham, ON L3S 3N7",,,,,,,,,,N9295630,43.8374072,-79.2568783,1
"136 Lebovic Campus Drive, Vaughan, ON L6A 4M1",,,,,,,,,,N11911202,43.8535857,-79.4685708,1
"139 Robin Trail, Scugog, ON L9L 1B3",,,,,,,,,,E11900745,44.08739629999999,-78.9460472,1
"1409 - 65 Speers Road, Oakville, ON L6K 3V5",,,,,,,,,,W10929760,43.4477362,-79.6875677,1
"1412 - 3380 Eglinton Avenue, Toronto, ON M1J 3L6",,,,,,,,,,E11901041,43.7447665,-79.21458439999999,1
"1428 Rebecca Street, Oakville, ON L6L 1Z5",,,,,,,,,,W11902443,43.4132708,-79.7029649,1
"143 Terry Fox Drive, Barrie, ON L9L 0L9",,,,,,,,,,S10416640,44.3608427,-79.6001509,1
"1434 Davis Lp, Innisfil, ON L0L 1W0",,,,,,,,,,N11901884,44.259599,-79.5533308,1
"1448 RICKARDS Road, South Frontenac, ON K0H 2L0",,,,,,,,,,X11902403,44.4218971,-76.50560759999999,1
"1466 BASELINE Road, MeadowlandsCrestviewandArea, ON K2C 0B2",,,,,,,,,,X11898777,45.3606586,-75.7409045,1
"154 Main Street, Shelburne, ON L0N 1S3",,,,,,,,,,X9507869,44.0781017,-80.206902,1
"1540 Thetford Court, Mississauga, ON L5J 3N6",63,Somewhat Walkable,43.521,-79.6455,50,Good Transit,"13 nearby routes: 12 bus, 1 rail, 0 other",52,Bikeable,W11888607,43.52071429999999,-79.64549679999999,1
"1555 Gill Road, Springwater, ON L0L 1X0",,,,,,,,,,S11888808,44.486083,-79.75489499999999,1
"1578 Dundas Street, Toronto, ON M4L 1K8",,,,,,,,,,E9769687,43.6673642,-79.3298899,1
"16 Hollingsworth Circle, Brampton, ON L7A 0J7",,,,,,,,,,W11910512,43.694715,-79.8392583,1
"16 Quillberry Close, Brampton, ON L7A 4N8",,,,,,,,,,W10893792,43.6983457,-79.8457239,1
"16 Walnut Drive, Wasaga Beach, ON L9Z 0A9",,,,,,,,,,S11902095,44.459443,-80.041901,1
"1602 - 55 Ontario Street, Toronto, ON M5A 0T8",,,,,,,,,,C11902354,43.653598,-79.3662319,1
"163 Atkinson Boulevard, London, ON N5W 4Z3",,,,,,,,,,X11262856,42.9911779,-81.17703430000002,1
"166 JAMES Street, Brockville, ON K6V 1L3",,,,,,,,,,X9520334,44.5966141,-75.67851019999999,1
"17 - 5000 Connor Drive, Lincoln, ON L3J 0T4",,,,,,,,,,X11902372,43.1556428,-79.48029009999999,1
"17 CLEARVIEW Heights, St. Catharines, ON L2T 2W2",,,,,,,,,,X11885012,43.12868659999999,-79.2178208,1
"17 Main Street, New Tecumseth, ON L0G 1A0",,,,,,,,,,N11884403,44.0787762,-79.7848667,1
"170 E - 1610 Charles Street, Whitby, ON L1N 0P5",,,,,,,,,,E11902413,43.8606078,-78.936709,1
"1707N - 117 Broadway Avenue, Toronto, ON M4P 0A5",,,,,,,,,,C11902447,43.71035699999999,-79.3925946,1
"18 - 1755 Rathburn Road, Mississauga, ON L4W 2M8",,,,,,,,,,W9507176,43.634,-79.60086,1
"1802 - 15 Fort York Boulevard, Toronto, ON M5V 3Y4",96,Walker's Paradise,43.6395,-79.3935,98,Rider's Paradise,"41 nearby routes: 16 bus, 25 rail, 0 other",94,Biker's Paradise,C9296317,43.6398873,-79.3938891,1
"184 - 3033 Townline Road, Fort Erie, ON L0S 1S1",,,,,,,,,,X9371489,42.96275929999999,-79.0356659,1
"1855 Stevenson Road, Oshawa, ON L1H 7K4",,,,,,,,,,E5784789,43.94352,-78.9021099,1
"1923 Emerald Court, Innisfil, ON L9S 2A4",,,,,,,,,,N11902506,44.3028191,-79.5648251,1
"193 Vantage Street, Newmarket, ON L3X 3B1",,,,,,,,,,N11902442,44.0586513,-79.4939401,1
"199 Alessio Drive, Hamilton, ON L8B 0K4",,,,,,,,,,X11902379,43.2083853,-79.90516610000002,1
"2 - 1842 LAKESHORE Road, Mississauga, ON L5J 1J7",,,,,,,,,,W11902423,43.5150605,-79.6249161,1
"2 - 93 Peel Street, Barrie, ON L4M 3L5",,,,,,,,,,S11901758,44.3972948,-79.68963,1
"201 - 2343 Khalsa Gate, Oakville, ON L6M 5R6",,,,,,,,,,W10420213,43.4315326,-79.770315,1
"20161 Bathurst Street, East Gwillimbury, ON L9N 1N3",3,Car-Dependent,44.115,-79.5225,,,,26,Somewhat Bikeable,N9769675,44.1145573,-79.5220829,1
"203 - 22 Lombard Street, Toronto, ON M5C 1M1",,,,,,,,,,C11902386,43.6515813,-79.37671979999999,1
"204 - 11 St Joseph Street, Toronto, ON M4Y 3G4",,,,,,,,,,C11902391,43.6657429,-79.3861318,1
"205 - 1420 Burnhamthorpe Road, Mississauga, ON L4X 2Z9",,,,,,,,,,W8132274,43.6229171,-79.6013449,1
"205 - 17 Cleave Avenue, Prince Edward County, ON K0K 2T0",63,Somewhat Walkable,44.0115,-77.133,,,,49,Somewhat Bikeable,X9253805,44.0120776,-77.1324865,1
"205 - 2788 Bathurst Street, Toronto, ON M6B 3A3",,,,,,,,,,C11901868,43.7119539,-79.42831439999999,1
"207 Alessio Drive, Hamilton, ON L9B 0K4",,,,,,,,,,X11902405,43.2083853,-79.90516610000002,1
"209860 Highway 26, Blue Mountains, ON L9Y 0L1",,,,,,,,,,X11888443,44.5230253,-80.29740129999999,1
"216 - 2788 Bathurst Street, Toronto, ON M6B 3A3",,,,,,,,,,C11901119,43.7119539,-79.42831439999999,1
"216 Woodbine Avenue, Kitchener, ON N2R 1Y5",,,,,,,,,,X11902507,43.3895571,-80.4857794,1
"217 - 2788 Bathurst Street, Toronto, ON M6B 3A3",,,,,,,,,,C11901328,43.7119539,-79.42831439999999,1
"218 - 120 Fairway Court, Blue Mountains, ON L9Y 0P8",,,,,,,,,,X10218239,44.50755040000001,-80.30849119999999,1
"218 CALVINGTON Avenue, Kanata, ON K2T 0P8",,,,,,,,,,X10418936,45.3051522,-75.9331749,1
"2180 Highpoint SideRoad, Caledon, ON L7K 0H9",,,,,,,,,,W9368479,43.8833271,-80.0678564,1
"219 Charles Street, Belleville, ON K8N 3M3",,,,,,,,,,X11897848,44.1667481,-77.3750031,1
"22 Mill Street, East Luther Grand Valley, ON L9W 5V8",,,,,,,,,,X9813794,43.8979831,-80.31396149999999,1
"220 - 8 Tippett Road, Toronto, ON M3H 2V1",,,,,,,,,,C11901103,43.7324138,-79.4468862,1
"22164 Dundonald Road, Southwest Middlesex, ON N0L 1M0",,,,,,,,,,X11889671,42.7281463,-81.6825923,1
"224 - 556 Marlee Avenue, Toronto, ON M6B 0B1",,,,,,,,,,W11902363,43.70876190000001,-79.4438682,1
"226 - 15 Coneflower Crescent, Toronto, ON M2R 0A5",56,Somewhat Walkable,43.779,-79.4505,66,Good Transit,"14 nearby routes: 14 bus, 0 rail, 0 other",72,Very Bikeable,C11902361,43.7785929,-79.45102729999999,1
"226 - 2788 Bathurst Street, Toronto, ON M6B 3A3",,,,,,,,,,C11902101,43.7119539,-79.42831439999999,1
"228 - 370 Highway 7, Richmond Hill, ON L4B 0C4",87,Very Walkable,43.842,-79.3965,48,Some Transit,"15 nearby routes: 15 bus, 0 rail, 0 other",63,Bikeable,N11821920,43.8419084,-79.3960034,1
"22A Broadview Avenue, Mississauga, ON L5H 2S9",,,,,,,,,,W11902513,43.54226999999999,-79.59777389999999,1
23 TILLSON Avenue Tillsonburg Oxford N4G 2Z7 ON,,,,,,,,,,X10744905,42.8614891,-80.7226761,1
"2308 - 4065 Brickstone Mews, Mississauga, ON L5B 0G3",,,,,,,,,,W10425828,43.58591,-79.6472,1
"2406 - 3390 WESTON Road, Toronto, ON M9M 2X3",83,Very Walkable,43.749,-79.542,69,Good Transit,"7 nearby routes: 7 bus, 0 rail, 0 other",49,Somewhat Bikeable,W9348212,43.74923649999999,-79.54266419999999,1
"25 Boustead Avenue, Toronto, ON M6R 1Y7",,,,,,,,,,W9374674,43.653122,-79.4527635,1
"25 Waterview Road, Wasaga Beach, ON L9Z 0E9",,,,,,,,,,S9294465,44.47601040000001,-80.13565170000001,1
"2608 Hibiscus Drive, Pickering, ON L1X 0L8",0,Car-Dependent,43.875,-79.1145,27,Some Transit,"2 nearby routes: 2 bus, 0 rail, 0 other",17,Somewhat Bikeable,E9398423,43.8752799,-79.11489,1
"2610 - 251 Jarvis Street, Toronto, ON M5B 0C3",,,,,,,,,,C10403186,43.65737670000001,-79.3744501,1
"2612 Hibiscus Drive, Pickering, ON L1X 0L8",0,Car-Dependent,43.875,-79.1145,27,Some Transit,"2 nearby routes: 2 bus, 0 rail, 0 other",17,Somewhat Bikeable,E9398458,43.87541,-79.11493999999999,1
"2693-97 Eglinton Avenue, Toronto, ON M1K 2S2",,,,,,,,,,E5979355,43.7071544,-79.39508029999999,1
"27 Melborne Court, Whitby, ON L1R 1S2",,,,,,,,,,E11902397,43.9021014,-78.9404145,1
"27 Sea Drifter Crescent, Brampton, ON L6P 4A9",,,,,,,,,,W11890912,43.7706388,-79.6638385,1
"2701 - 35 Kingsbridge Garden Circle, Mississauga, ON L5R 3Z5",,,,,,,,,,W11901830,43.60484,-79.6514,1
"2703 - 281 Mutual Street, Toronto, ON M4Y 3C4",,,,,,,,,,C11901851,43.6631533,-79.3778564,1
"2708 - 4978 Yonge Street, Toronto, ON M2N 7G8",,,,,,,,,,C11902394,43.7657323,-79.4125607,1
"272B Boon Avenue, Toronto, ON M6E 3Z9",,,,,,,,,,W9385318,43.68436,-79.44938,1
"273 Conover Avenue, Aurora, ON L4G 7X2",78,Very Walkable,44.0175,-79.443,31,Some Transit,"7 nearby routes: 7 bus, 0 rail, 0 other",68,Bikeable,N11822266,44.0178751,-79.4436743,1
"28 Coldbrook Drive, Cavan Monaghan, ON L0A 1G0",,,,,,,,,,X9285124,44.1578764,-78.446862,1
"28 Mulgrave Street, Brampton, ON L6P 3H2",30,Car-Dependent,43.7895,-79.6785,41,Some Transit,"6 nearby routes: 6 bus, 0 rail, 0 other",39,Somewhat Bikeable,W11882465,43.7893014,-79.6784984,1
"28 Paradise Way, Whitby, ON L1R 0R7",,,,,,,,,,E9510869,43.91148,-78.92421,1
"2803 - 7 Grenville Street, Toronto, ON M4Y 0E9",,,,,,,,,,C11911195,43.6619464,-79.3838174,1
"2804 - 32 Davenport Road, Toronto, ON M5R 0B5",,,,,,,,,,C11888187,43.67327179999999,-79.3898897,1
"2810 - 225 Sumach Street, Toronto, ON M5A 0P8",,,,,,,,,,C10406596,43.6611009,-79.3604498,1
"2845 HANK RIVERS Drive, BlossomParkAirportandArea, ON K1T 4A2",,,,,,,,,,X10418748,45.3537804,-75.6367027,1
"289 Simcoe Street, Peterborough, ON K9H 2J4",94,Walker's Paradise,44.304,-78.3255,,,,98,Biker's Paradise,X9387899,44.3042107,-78.3260128,1
"2905 - 4130 Parkside Village Drive, Mississauga, ON L5B 3M8",,,,,,,,,,W11902410,43.58762,-79.65026999999999,1
"2910 - 4080 Living Arts Drive, Mississauga, ON L5B 4N3",,,,,,,,,,W10707798,43.5876499,-79.64567,1
"2982 earl Street, Innisfil, ON L9S 3E3",,,,,,,,,,N9350359,44.3530922,-79.55125799999999,1
"2B - 3495 Lawrence Avenue, Toronto, ON M1H 1B3",,,,,,,,,,E8473572,43.7580489,-79.2287812,1
"3 - 6965 RALEIGH Boulevard, London, ON N6P 1W5",,,,,,,,,,X9385458,42.9326999,-81.31559999999999,1
"3 Waterview Lane, Blue Mountains, ON N0H 2P0",,,,,,,,,,X10421186,44.5682124,-80.4633118,1
"30 Sandy Ridge Court, Whitchurch-Stouffville, ON L4A 2L4",,,,,,,,,,N11902324,44.0384117,-79.3421834,1
"300-400 - 140 Allstate Parkway, Markham, ON L3R 5Y8",,,,,,,,,,N5302496,43.8553188,-79.3693241,1
"303 - 140 Allstate Parkway, Markham, ON L3R 5Y8",,,,,,,,,,N6654278,43.8553188,-79.3693241,1
"305 - 17 Cleave Avenue, Prince Edward County, ON K0K 2T0",63,Somewhat Walkable,44.0115,-77.133,,,,49,Somewhat Bikeable,X9253853,44.0120776,-77.1324865,1
"3051 YEARLEY Road, Huntsville, ON P0A 1R0",,,,,,,,,,X10437803,45.3934493,-79.44968469999999,1
"307 - 1 Quail Crescent, Barrie, ON L4N 6W9",,,,,,,,,,S9510739,44.3551562,-79.7002938,1
"307 - 17 Cleave Avenue, Prince Edward County, ON K0K 2T0",63,Somewhat Walkable,44.0115,-77.133,,,,49,Somewhat Bikeable,X9253873,44.0120776,-77.1324865,1
"307 - 2788 Bathurst Street, Toronto, ON M6B 3A3",,,,,,,,,,C11902125,43.7119539,-79.42831439999999,1
"310 - 2391 Central Park Drive, Oakville, ON L6H 0E4",,,,,,,,,,W9734323,43.4802959,-79.7199347,1
"311 - 5795 Yonge Street, Toronto, ON M2M 4J3",,,,,,,,,,C11902342,43.7844401,-79.4151208,1
"3112 ARTHUR Street, Howick, ON N0G 1V0",,,,,,,,,,X10424722,43.86638,-81.0328399,1
"312 - 10 Halliford Place, Brampton, ON L6P 0N5",29,Car-Dependent,43.7565,-79.689,54,Good Transit,"8 nearby routes: 8 bus, 0 rail, 0 other",42,Somewhat Bikeable,W11886066,43.7568414,-79.6883774,1
"313 - 2788 Bathurst Street, Toronto, ON M6B 3A3",,,,,,,,,,C11900925,43.7119539,-79.42831439999999,1
"315 - 250 LAWRENCE Avenue, Toronto, ON M5M 1B2",84,Very Walkable,43.7235,-79.413,76,Excellent Transit,"12 nearby routes: 11 bus, 1 rail, 0 other",65,Bikeable,C10440749,43.7230148,-79.4137126,1
"316 - 8 Nahani Way, Mississauga, ON L4Z 0C6",,,,,,,,,,W10425044,43.60946130000001,-79.6558903,1
"317 - 430 Essa Drive, Barrie, ON L4N 9C6",,,,,,,,,,S11902487,44.346304,-79.7040509,1
"3177 Blazing Star Avenue, Pickering, ON L1Y 0B3",,,,,,,,,,E11899377,43.9030439,-79.0874055,1
"319 - 62 Forest Manor Road, Toronto, ON M2J 0B6",,,,,,,,,,C11911179,43.7738988,-79.34541159999999,1
"32 South Street, Orillia, ON L3V 3S9",,,,,,,,,,S9513970,44.6177776,-79.43191879999999,1
"321 - 2788 Bathurst Street, Toronto, ON M6B 3A3",,,,,,,,,,C11902249,43.7119539,-79.42831439999999,1
"3215 - 21 Iceboat Terrace, Toronto, ON M5V 4A9",,,,,,,,,,C11892195,43.64049809999999,-79.3974313,1
"33 Bluebird Lane, Barrie, ON L9J 0M3",,,,,,,,,,S11902427,44.3554517,-79.63545669999999,1
"3306 - 1000 Portage Parkway, Vaughan, ON L4K 0L1",,,,,,,,,,N10424027,43.7979945,-79.5267575,1
"331 - 556 Marlee Avenue, Toronto, ON M6B 3J3",,,,,,,,,,W11902404,43.70876190000001,-79.4438682,1
"331 Okanagan Path, Oshawa, ON L1H 6T9",,,,,,,,,,E11902515,43.8957887,-78.8321469,1
"3459 Jorie Crescent, Mississauga, ON L5M 7G6",,,,,,,,,,W11900437,43.5543814,-79.74728689999999,1
"349 Bloomfield Main Street, Prince Edward County, ON K0K 1G0",,,,,,,,,,X11897851,43.9856813,-77.2319698,1
"35 Stewart Place, Peterborough, ON K9J 3L8",,,,,,,,,,X11901802,44.2939734,-78.32499179999999,1
"35E Spruce Street, Toronto, ON M5A 2H8",,,,,,,,,,C11901908,43.6638435,-79.3646929,1
"3664 6th Concession Road, Clearview, ON L0M 3G0",,,,,,,,,,S11902425,44.3792957,-80.0534923,1
"37 - 2295 Rochester Circle, Oakville, ON L6M 5C9",,,,,,,,,,W11902446,43.42696309999999,-79.7660425,1
"3702 - 20 Shore Breeze Drive, Toronto, ON M8V 0C7",,,,,,,,,,W11894102,43.6235424,-79.4788445,1
"3708 - 45 Charles Street, Toronto, ON M4Y 0B8",,,,,,,,,,C10415169,43.6689111,-79.383977,1
"38 - 688 Warden Avenue, Toronto, ON M1L 4W4",,,,,,,,,,E11902441,43.7144857,-79.28238590000001,1
"389 Etheridge Avenue, Milton, ON L9E 0B2",,,,,,,,,,W11901445,43.4858299,-79.8419131,1
"39 Laurie Crescent, Barrie, ON L4M 6C7",,,,,,,,,,S10416626,44.4041459,-79.68446449999999,1
"39A Poyntz Street, Penetanguishene, ON L9M 1N5",,,,,,,,,,S10929695,44.7659499,-79.937406,1
"4 - 399 Springbank Avenue, Woodstock, ON N4T 1P9",,,,,,,,,,X11902451,43.1474274,-80.73653019999999,1
"4 - 47 Madonna Drive, Hamilton, ON L9B 0H2",21,Car-Dependent,43.203,-79.917,39,Some Transit,"3 nearby routes: 3 bus, 0 rail, 0 other",33,Somewhat Bikeable,X11896104,43.203131,-79.917704,1
"4 Eastgate Crescent, Toronto, ON M1L 1W9",,,,,,,,,,E11891686,43.7114083,-79.2907527,1
"4 SUTTON Lane, Collingwood, ON L9Y 5B4",,,,,,,,,,S10440353,44.5060012,-80.2411901,1
"4 Sturgeon Glen Road, Kawartha Lakes, ON K0M 1N0",,,,,,,,,,X9513717,44.5239319,-78.7252772,1
"400 - 140 Allstate Parkway, Markham, ON L3R 5Y8",,,,,,,,,,N5302477,43.8553188,-79.3693241,1
"402 - 15 Sewells Road, Toronto, ON M1B 3J7",85,Very Walkable,43.8075,-79.2165,69,Good Transit,"12 nearby routes: 12 bus, 0 rail, 0 other",32,Somewhat Bikeable,E9511358,43.8067506,-79.2171378,1
"402 - 25 Richmond Street, Toronto, ON M5C 0A6",100,Walker's Paradise,43.6515,-79.377,100,Rider's Paradise,"46 nearby routes: 20 bus, 26 rail, 0 other",93,Biker's Paradise,C11885030,43.6519017,-79.37721650000002,1
"402 Upper Paradise Road, Hamilton, ON L9C 5E1",,,,,,,,,,X11545639,43.23342239999999,-79.9119238,1
"404 - 17 Cleave Avenue, Prince Edward County, ON K0K 2T0",63,Somewhat Walkable,44.0115,-77.133,,,,49,Somewhat Bikeable,X9253892,44.0120776,-77.1324865,1
"405 - 17 Cleave Avenue, Prince Edward County, ON K0K 2T0",63,Somewhat Walkable,44.0115,-77.133,,,,49,Somewhat Bikeable,X9253908,44.0120776,-77.1324865,1
"41 Briarwood Road, Markham, ON L3R 2W7",,,,,,,,,,N10420581,43.8735829,-79.3361836,1
"41 Dixington Crescent, Toronto, ON M9P 2K3",,,,,,,,,,W11911196,43.6975718,-79.5418456,1
"413 - 201 Brock Street, Whitby, ON L1N 4K2",,,,,,,,,,E11905300,43.8786845,-78.9412588,1
"42 Evanston Drive, Toronto, ON M3H 5P3",,,,,,,,,,C11100984,43.7645819,-79.4630655,1
"42 Ottaway Avenue, Barrie, ON L4M 2W9",,,,,,,,,,S11898082,44.4039154,-79.6905319,1
"4208 - 1 Palace Pier Court, Toronto, ON M8V 3W9",,,,,,,,,,W9311265,43.6316252,-79.47271789999999,1
"4235 Hazineh Court, Mississauga, ON L5B 3N6",,,,,,,,,,W9510975,43.5864504,-79.6547105,1
"424 - 170 Jozo Weider Boulevard, Blue Mountains, ON L9Y 0V2",,,,,,,,,,X11902412,44.5031852,-80.3114576,1
"43 Black Walnut Drive, Markham, ON L3S 4B9",37,Car-Dependent,43.8645,-79.239,38,Some Transit,"13 nearby routes: 13 bus, 0 rail, 0 other",41,Somewhat Bikeable,N9263730,43.8639665,-79.239479,1
"4308 - 1 Bloor Street, Toronto, ON M4W 1A9",,,,,,,,,,C9357695,43.6699145,-79.3870395,1
"4361 Violet Road, Mississauga, ON L5V 1J8",,,,,,,,,,W11902477,43.5776866,-79.6722905,1
"44 - 954 Arlington Street, Saugeen Shores, ON N0H 2C4",,,,,,,,,,X11902344,44.44057000000001,-81.37879,1
"45 Lakewood Crescent, Kawartha Lakes, ON K0M 1A0",,,,,,,,,,X11902370,44.5355499,-78.5274596,1
"463 Holcan Avenue, Oshawa, ON L1G 5X5",,,,,,,,,,E11897932,43.9125918,-78.855442,1
"47 Trillium Court, Kingston, ON K7K 6W9",,,,,,,,,,X11895839,44.2625691,-76.49427279999999,1
"478 Melrose Avenue, Toronto, ON M5M 1Z9",,,,,,,,,,C11902462,43.7291246,-79.4244617,1
"479 Windermere Avenue, Toronto, ON M6S 3L5",,,,,,,,,,W11902139,43.6511953,-79.48052609999999,1
"48 - 3050 Constitution Boulevard, Mississauga, ON L4Y 3X7",,,,,,,,,,W9267442,43.6033898,-79.59275029999999,1
"48 Christian Street, Russell, ON K0A 2N0",,,,,,,,,,X11902376,45.2166818,-76.1998849,1
"49 Emerald Coast Trail, Brampton, ON L7A 5A7",,,,,,,,,,W11900561,43.6915969,-79.8621239,1
"49 Norwood Avenue, Vaughan, ON L6A 3V6",,,,,,,,,,N11898075,43.8428989,-79.5329352,1
"5 Cattail Crescent, Hamilton, ON L8B 1Z5",,,,,,,,,,X11911193,43.3406118,-79.8722659,1
"5 Forsyth Crescent, Halton Hills, ON L7G 5Y3",,,,,,,,,,W11901267,43.6320947,-79.8971875,1
"500 - 140 Allstate Parkway, Markham, ON L3R 5Y8",,,,,,,,,,N8333752,43.855301,-79.3692576,1
"501 - 1 Climo Lane, Markham, ON L6E 0V8",,,,,,,,,,N11902373,43.8993896,-79.26674179999999,1
"501 - 483 Faith Drive, Mississauga, ON L5R 0A1",,,,,,,,,,W10423357,43.605334,-79.67330299999999,1
"505 - 17 Cleave Avenue, Prince Edward County, ON K0K 2T0",63,Somewhat Walkable,44.0115,-77.133,,,,49,Somewhat Bikeable,X9253921,44.0120776,-77.1324865,1
"51 Rathburn Road, Toronto, ON M9A 1R3",,,,,,,,,,W11880649,43.6613224,-79.5351244,1
"51 River Heights Drive, Brampton, ON L6P 2N5",,,,,,,,,,W9363604,43.7795153,-79.6776775,1
"5102 Graham Lake Road, Elizabethtown-Kitley, ON K0E 1M0",,,,,,,,,,X9418752,44.5965036,-75.8510297,1
